Date,HashRate,ActiveAddresses,TxVolumeUSD
2017-08-23,,628517.0,
2017-08-25,4459277.5076504,,763980859.57522
2017-08-27,,509083.0,
2017-08-29,6578538.10534563,,1113343542.50353
2017-08-31,,589298.0,
2017-09-02,7240807.04212539,,945272819.329301
2017-09-04,,561329.0,
2017-09-06,7430760.7659943,,1328829016.12437
2017-09-08,,606486.0,
2017-09-10,6329907.31918033,,849737599.424126
2017-09-12,,549110.0,
2017-09-14,7981187.48940129,,1008072397.20311
2017-09-16,,486763.0,
2017-09-18,6965995.45167762,,810015857.700415
2017-09-20,,480583.0,
2017-09-22,7624199.74632432,,720084890.797891
2017-09-24,,383449.0,
2017-09-26,7569349.3884371,,783377529.605634
2017-09-28,,561793.0,
2017-09-30,7569349.3884371,,654917752.443883
2017-10-02,,606138.0,
2017-10-04,7486251.28872091,,611184779.702613
2017-10-06,,609683.0,
2017-10-08,10167893.5413971,,678141979.346104
2017-10-10,,613364.0,
2017-10-12,8547734.68040521,,1072717734.6568
2017-10-14,,594482.0,
2017-10-16,10351762.4275025,,1148993979.04203
2017-10-18,,646494.0,
2017-10-20,10649226.8650745,,1094088679.1563
2017-10-22,,573815.0,
2017-10-24,9935312.21490186,,2184205097.23059
2017-10-26,,555570.0,
2017-10-28,6138789.85774571,,645357529.902608
2017-10-30,,672661.0,
2017-11-01,7872095.2293445,,1921728654.83974
2017-11-03,,670963.0,
2017-11-05,10183169.0581429,,1346375105.55772
2017-11-07,,714417.0,
2017-11-09,11049821.7439423,,2366841243.84241
2017-11-11,,459977.0,
2017-11-13,9495610.53578818,,2070829566.4518
2017-11-15,,709294.0,
2017-11-17,11326906.8534045,,2848162964.48163
2017-11-19,,603430.0,
2017-11-21,11733861.5906525,,2632881286.5975
2017-11-23,,747162.0,
2017-11-25,10445729.4715075,,2302620556.51406
2017-11-27,,829651.0,
2017-11-29,11584046.1446846,,4301831779.47883
2017-12-01,,869275.0,
2017-12-03,11784925.5575982,,2065023836.1632
2017-12-05,,891236.0,
2017-12-07,11941671.1962486,,5271885974.64757
2017-12-09,,877575.0,
2017-12-11,13523349.5003875,,4272284928.33151
2017-12-13,,958477.0,
2017-12-15,13365181.6699736,,4219284344.1263
2017-12-17,,877465.0,
2017-12-19,13035760.950516,,3906879033.08123
2017-12-21,,840740.0,
2017-12-23,12942648.372298,,2381107619.03715
2017-12-25,,565075.0,
2017-12-27,14525562.2020035,,4777859401.98801
2017-12-29,,838926.0,
2017-12-31,15177350.2495293,,3132315786.3277
